country_name;country_border_name
Andorra;France
Andorra;Spain
United Arab Emirates;Oman
United Arab Emirates;Saudi Arabia
Afghanistan;China
Afghanistan;Iran
Afghanistan;Pakistan
Afghanistan;Tajikistan
Afghanistan;Turkmenistan
Afghanistan;Uzbekistan
Albania;Greece
Albania;Montenegro
Albania;North Macedonia
Albania;Serbia
Armenia;Azerbaijan
Armenia;Georgia
Armenia;Iran
Armenia;Turkey
Angola;Congo
Angola;Democratic Republic of the Congo
Angola;Namibia
Angola;Zambia
Argentina;Bolivia
Argentina;Brazil
Argentina;Chile
Argentina;Paraguay
Argentina;Uruguay
Austria;Czechia
Austria;Germany
Austria;Hungary
Austria;Italy
Austria;Liechtenstein
Austria;Slovakia
Austria;Slovenia
Austria;Switzerland
Azerbaijan;Armenia
Azerbaijan;Georgia
Azerbaijan;Iran
Azerbaijan;Russian Federation
Azerbaijan;Turkey
Bosnia and Herzegovina;Croatia
Bosnia and Herzegovina;Montenegro
Bosnia and Herzegovina;Serbia
Bangladesh;India
Bangladesh;Myanmar
Belgium;France
Belgium;Germany
Belgium;Luxembourg
Belgium;Netherlands
Burkina Faso;Benin
Burkina Faso;Ivory Coast
Burkina Faso;Ghana
Burkina Faso;Mali
Burkina Faso;Niger
Burkina Faso;Togo
Bulgaria;Greece
Bulgaria;North Macedonia
Bulgaria;Romania
Bulgaria;Serbia
Bulgaria;Turkey
Burundi;Democratic Republic of the Congo
Burundi;Rwanda
Burundi;Tanzania
Benin;Burkina Faso
Benin;Niger
Benin;Nigeria
Benin;Togo
Brunei Darussalam;Malaysia
Bolivia;Argentina
Bolivia;Brazil
Bolivia;Chile
Bolivia;Paraguay
Bolivia;Peru
Brazil;Argentina
Brazil;Bolivia
Brazil;Colombia
Brazil;French Guiana
Brazil;Guyana
Brazil;Paraguay
Brazil;Peru
Brazil;Suriname
Brazil;Uruguay
Brazil;Venezuela
Bhutan;China
Bhutan;India
Botswana;Namibia
Botswana;South Africa
Botswana;Zambia
Botswana;Zimbabwe
Belarus;Latvia
Belarus;Lithuania
Belarus;Poland
Belarus;Russian Federation
Belarus;Ukraine
Belize;Guatemala
Belize;Mexico
Canada;United States of America
Democratic Republic of the Congo;Angola
Democratic Republic of the Congo;Burundi
Democratic Republic of the Congo;Central African Republic
Democratic Republic of the Congo;Congo
Democratic Republic of the Congo;Rwanda
Democratic Republic of the Congo;South Sudan
Democratic Republic of the Congo;Tanzania
Democratic Republic of the Congo;Uganda
Democratic Republic of the Congo;Zambia
Central African Republic;Cameroon
Central African Republic;Chad
Central African Republic;Congo
Central African Republic;Democratic Republic of the Congo
Central African Republic;South Sudan
Central African Republic;Sudan
Congo;Angola
Congo;Cameroon
Congo;Central African Republic
Congo;Democratic Republic of the Congo
Congo;Gabon
Switzerland;Austria
Switzerland;France
Switzerland;Germany
Switzerland;Italy
Switzerland;Liechtenstein
Ivory Coast;Burkina Faso
Ivory Coast;Ghana
Ivory Coast;Guinea
Ivory Coast;Liberia
Ivory Coast;Mali
Chile;Argentina
Chile;Bolivia
Chile;Peru
Cameroon;Central African Republic
Cameroon;Chad
Cameroon;Congo
Cameroon;Equatorial Guinea
Cameroon;Gabon
Cameroon;Nigeria
China;Afghanistan
China;Bhutan
China;Hong Kong
China;India
China;Kazakhstan
China;North Korea
China;Kyrgyzstan
China;Lao People's Democratic Republic
China;Macao
China;Mongolia
China;Myanmar
China;Nepal
China;Pakistan
China;Russian Federation
China;Tajikistan
China;Viet Nam
Colombia;Brazil
Colombia;Ecuador
Colombia;Panama
Colombia;Peru
Colombia;Venezuela
Costa Rica;Nicaragua
Costa Rica;Panama
Czechia;Austria
Czechia;Germany
Czechia;Poland
Czechia;Slovakia
Germany;Austria
Germany;Belgium
Germany;Czechia
Germany;Denmark
Germany;France
Germany;Luxembourg
Germany;Netherlands
Germany;Poland
Germany;Switzerland
Djibouti;Eritrea
Djibouti;Ethiopia
Djibouti;Somalia
Denmark;Germany
Dominican Republic;Haiti
Algeria;Libya
Algeria;Mali
Algeria;Mauritania
Algeria;Morocco
Algeria;Niger
Algeria;Tunisia
Algeria;Western Sahara
Ecuador;Colombia
Ecuador;Peru
Estonia;Latvia
Estonia;Russian Federation
Egypt;Israel
Egypt;Libya
Egypt;Palestine
Egypt;Sudan
Western Sahara;Algeria
Western Sahara;Mauritania
Western Sahara;Morocco
Eritrea;Djibouti
Eritrea;Ethiopia
Eritrea;Sudan
Spain;Andorra
Spain;France
Spain;Gibraltar
Spain;Morocco
Spain;Portugal
Ethiopia;Djibouti
Ethiopia;Eritrea
Ethiopia;Kenya
Ethiopia;Somalia
Ethiopia;South Sudan
Ethiopia;Sudan
Finland;Norway
Finland;Russian Federation
Finland;Sweden
France;Andorra
France;Belgium
France;Germany
France;Italy
France;Luxembourg
France;Monaco
France;Spain
France;Switzerland
Gabon;Cameroon
Gabon;Congo
Gabon;Equatorial Guinea
United Kingdom of Great Britain and Northern Ireland;Ireland
Georgia;Armenia
Georgia;Azerbaijan
Georgia;Russian Federation
Georgia;Turkey
French Guiana;Brazil
French Guiana;Suriname
Ghana;Burkina Faso
Ghana;Ivory Coast
Ghana;Togo
Gibraltar;Spain
Gambia;Senegal
Guinea;Ivory Coast
Guinea;Guinea-Bissau
Guinea;Liberia
Guinea;Mali
Guinea;Senegal
Guinea;Sierra Leone
Equatorial Guinea;Cameroon
Equatorial Guinea;Gabon
Greece;Albania
Greece;Bulgaria
Greece;North Macedonia
Greece;Turkey
Guatemala;Belize
Guatemala;El Salvador
Guatemala;Honduras
Guatemala;Mexico
Guinea-Bissau;Guinea
Guinea-Bissau;Senegal
Guyana;Brazil
Guyana;Suriname
Guyana;Venezuela
Hong Kong;China
Honduras;El Salvador
Honduras;Guatemala
Honduras;Nicaragua
Croatia;Bosnia and Herzegovina
Croatia;Hungary
Croatia;Montenegro
Croatia;Serbia
Croatia;Slovenia
Haiti;Dominican Republic
Hungary;Austria
Hungary;Croatia
Hungary;Romania
Hungary;Serbia
Hungary;Slovakia
Hungary;Slovenia
Hungary;Ukraine
Indonesia;Malaysia
Indonesia;Papua New Guinea
Indonesia;Timor-Leste
Ireland;United Kingdom of Great Britain and Northern Ireland
Israel;Egypt
Israel;Jordan
Israel;Lebanon
Israel;Palestine
Israel;Syrian Arab Republic
India;Bangladesh
India;Bhutan
India;China
India;Myanmar
India;Nepal
India;Pakistan
Iraq;Iran
Iraq;Jordan
Iraq;Kuwait
Iraq;Saudi Arabia
Iraq;Syrian Arab Republic
Iraq;Turkey
Iran;Afghanistan
Iran;Armenia
Iran;Azerbaijan
Iran;Iraq
Iran;Pakistan
Iran;Turkey
Iran;Turkmenistan
Italy;Austria
Italy;France
Italy;San Marino
Italy;Slovenia
Italy;Switzerland
Italy;Holy See
Jordan;Iraq
Jordan;Israel
Jordan;Palestine
Jordan;Saudi Arabia
Jordan;Syrian Arab Republic
Kenya;Ethiopia
Kenya;Somalia
Kenya;South Sudan
Kenya;Tanzania
Kenya;Uganda
Kyrgyzstan;China
Kyrgyzstan;Kazakhstan
Kyrgyzstan;Tajikistan
Kyrgyzstan;Uzbekistan
Cambodia;Lao People's Democratic Republic
Cambodia;Thailand
Cambodia;Viet Nam
North Korea;China
North Korea;South Korea
North Korea;Russian Federation
South Korea;North Korea
Kuwait;Iraq
Kuwait;Saudi Arabia
Kazakhstan;China
Kazakhstan;Kyrgyzstan
Kazakhstan;Russian Federation
Kazakhstan;Turkmenistan
Kazakhstan;Uzbekistan
Lao People's Democratic Republic;China
Lao People's Democratic Republic;Cambodia
Lao People's Democratic Republic;Myanmar
Lao People's Democratic Republic;Thailand
Lao People's Democratic Republic;Viet Nam
Lebanon;Israel
Lebanon;Syrian Arab Republic
Liechtenstein;Austria
Liechtenstein;Switzerland
Liberia;Ivory Coast
Liberia;Guinea
Liberia;Sierra Leone
Lesotho;South Africa
Lithuania;Belarus
Lithuania;Latvia
Lithuania;Poland
Lithuania;Russian Federation
Luxembourg;Belgium
Luxembourg;Germany
Luxembourg;France
Latvia;Belarus
Latvia;Estonia
Latvia;Lithuania
Latvia;Russian Federation
Libya;Algeria
Libya;Chad
Libya;Egypt
Libya;Niger
Libya;Sudan
Libya;Tunisia
Morocco;Algeria
Morocco;Spain
Morocco;Western Sahara
Monaco;France
Moldova;Romania
Moldova;Ukraine
